year,month,sstarc
1983,9,0.053231907
1983,10,0.036458948
1983,11,0.292054821
1983,12,0.418452932
1984,1,0.468198736
1984,2,0.412204777
1984,3,0.519731563
1984,4,0.163715094
1984,5,0.244659627
1984,6,0.191446891
1984,7,0.091584697
1984,8,0.170101465
1984,9,0.154961744
1984,10,-0.034635537
1984,11,0.006533679
1984,12,0.013818457
1985,1,0.046970716
1985,2,0.026055231
1985,3,-0.294767102
1985,4,-0.387525853
1985,5,-0.353588456
1985,6,-0.377072275
1985,7,-0.025548863
1985,8,-0.251993564
1985,9,-0.043213982
1985,10,-0.115983267
1985,11,-0.317180576
1985,12,-0.024030356
1986,1,0.284648321
1986,2,0.477736986
1986,3,0.617034369
1986,4,0.347608759
1986,5,0.19519352
1986,6,0.19407551
1986,7,-0.067737277
1986,8,0.034966811
1986,9,0.180937264
1986,10,0.478551774
1986,11,0.750597372
1986,12,0.62927307
1987,1,0.420432419
1987,2,0.325947039
1987,3,0.320650988
1987,4,0.24698307
1987,5,0.283268819
1987,6,-0.310940823
1987,7,-0.352170275
1987,8,-0.166018525
1987,9,-0.033304616
1987,10,0.099721425
1987,11,0.380629114
1987,12,0.007540587
1988,1,-0.055046994
1988,2,0.087137092
1988,3,-0.034762233
1988,4,-0.046014433
1988,5,-0.098143036
1988,6,-0.211394202
1988,7,-0.108829437
1988,8,-0.34124475
1988,9,-0.548643275
1988,10,-0.101520075
1988,11,-0.055217855
1988,12,-0.064794832
1989,1,-0.397469051
1989,2,-0.555530208
1989,3,-0.386593359
1989,4,0.263491097
1989,5,0.305635987
1989,6,0.137364782
1989,7,0.218053548
1989,8,0.168401014
1989,9,0.148638742
1989,10,0.12057466
1989,11,0.094038593
1989,12,0.265227948
1990,1,0.122262543
1990,2,-0.369168746
1990,3,-0.247731548
1990,4,0.169905764
1990,5,0.196101123
1990,6,0.255858311
1990,7,0.432231456
1990,8,0.383858914
1990,9,0.573616651
1990,10,0.187296673
1990,11,-0.002736172
1990,12,-0.095113782
1991,1,0.070070193
1991,2,0.162132404
1991,3,0.087813867
1991,4,-0.105660309
1991,5,-0.303747617
1991,6,-0.420187276
1991,7,-0.096910515
1991,8,-0.366003526
1991,9,-0.219614187
1991,10,0.19170063
1991,11,0.403964255
1991,12,-0.019364641
1992,1,0.016898709
1992,2,0.11478858
1992,3,0.24900142
1992,4,0.456631136
1992,5,0.764918194
1992,6,0.721719285
1992,7,0.739706434
1992,8,0.326628596
1992,9,0.203027456
1992,10,0.329722886
1992,11,0.523446862
1992,12,0.068153184
1993,1,0.02033156
1993,2,0.11136051
1993,3,0.227231489
1993,4,0.473780866
1993,5,0.637205561
1993,6,0.867045846
1993,7,0.416198897
1993,8,0.257937122
1993,9,-0.01780212
1993,10,0.365325627
1993,11,0.486988201
1993,12,0.315604277
1994,1,0.420949235
1994,2,0.389836313
1994,3,0.453524943
1994,4,0.392016348
1994,5,0.23683694
1994,6,0.321147779
1994,7,0.174213666
1994,8,0.458903803
1994,9,0.176402329
1994,10,0.135033996
1994,11,-0.394814705
1994,12,-0.516711299
1995,1,-0.294646104
1995,2,-0.03108563
1995,3,0.262058378
1995,4,0.040440503
1995,5,0.240517041
1995,6,-0.002823226
1995,7,0.390848415
1995,8,0.018652176
1995,9,0.47283904
1995,10,0.210539844
1995,11,0.114087692
1995,12,0.471935639
1996,1,0.488771562
1996,2,0.568124059
1996,3,0.497622152
1996,4,0.605941107
1996,5,0.889589824
1996,6,0.581524931
1996,7,0.214671087
1996,8,0.198429657
1996,9,0.206042543
1996,10,0.022858866
1996,11,0.080298106
1996,12,0.034339018
1997,1,0.179552925
1997,2,0.367887333
1997,3,0.193529632
1997,4,0.362705938
1997,5,0.992940473
1997,6,1.363436816
1997,7,1.11672468
1997,8,1.24339766
1997,9,1.125832995
1997,10,0.496049595
1997,11,0.648176178
1997,12,0.38456095
1998,1,0.295147733
1998,2,0.4319599
1998,3,0.576083373
1998,4,0.19683859
1998,5,0.038653623
1998,6,-0.04969645
1998,7,0.008120864
1998,8,0.152363771
1998,9,-0.393704117
1998,10,-0.328643483
1998,11,-0.077193135
1998,12,-0.470161087
1999,1,-0.253835559
1999,2,-0.464904236
1999,3,-0.612352388
1999,4,-0.907768432
1999,5,-1.168635589
1999,6,-1.091069646
